,date,time,call_id,agent_id,answer_time_minute,answer_time_second,talk_time_minute,talk_time_second,escalation,abandoned_num,abandoned,csat,csat_value
1,2/20/2022,8:54 AM,1405,216,2,48,54,54,FALSE,0,FALSE,FALSE,
1,2/20/2022,10:35 AM,1406,216,2,21,31,41,FALSE,0,FALSE,FALSE,
1,2/20/2022,12:27 PM,3416,212,2,41,31,11,FALSE,0,FALSE,TRUE,0
1,2/20/2022,3:52 PM,3587,213,2,12,26,45,FALSE,0,FALSE,FALSE,
1,2/20/2022,11:18 AM,3412,212,3,39,27,58,FALSE,0,FALSE,FALSE,
1,2/20/2022,9:39 AM,3413,213,3,57,18,20,FALSE,0,FALSE,FALSE,
1,2/20/2022,8:20 AM,3415,213,4,37,35,8,FALSE,0,FALSE,FALSE,
1,2/20/2022,8:16 AM,2071,216,1,25,19,7,FALSE,0,FALSE,TRUE,4
1,2/20/2022,10:10 AM,2207,214,4,15,55,39,FALSE,0,FALSE,FALSE,
1,2/20/2022,6:53 PM,1401,213,3,15,13,29,FALSE,0,FALSE,TRUE,1
1,2/20/2022,9:42 AM,1404,214,2,39,3,25,FALSE,0,FALSE,FALSE,
1,2/20/2022,2:44 PM,3414,214,0,37,20,43,FALSE,0,FALSE,TRUE,0
1,2/20/2022,5:07 PM,3417,212,7,26,49,15,FALSE,0,FALSE,TRUE,0
1,2/20/2022,5:47 PM,3411,216,1,17,3,52,FALSE,0,FALSE,FALSE,
1,2/27/2022,5:16 PM,3470,211,2,40,9,58,FALSE,0,FALSE,TRUE,0
1,2/27/2022,8:13 AM,1459,216,3,27,44,31,FALSE,0,FALSE,FALSE,
1,2/27/2022,12:07 PM,2210,210,3,13,51,42,FALSE,0,FALSE,FALSE,
1,2/27/2022,11:39 AM,3471,211,3,25,21,31,FALSE,0,FALSE,FALSE,
1,2/27/2022,11:12 AM,4080,214,3,18,29,42,FALSE,0,FALSE,FALSE,
1,2/27/2022,6:57 PM,1457,214,4,44,56,8,FALSE,0,FALSE,FALSE,
1,2/27/2022,10:15 AM,3469,212,3,56,52,31,FALSE,0,FALSE,FALSE,
1,2/27/2022,1:53 PM,1458,214,4,11,14,24,FALSE,0,FALSE,FALSE,
1,2/27/2022,3:29 PM,1460,210,3,12,46,21,FALSE,0,FALSE,FALSE,
1,2/27/2022,2:16 PM,1583,216,2,27,0,53,FALSE,0,FALSE,FALSE,
1,2/27/2022,9:55 AM,3468,212,2,12,48,18,FALSE,0,FALSE,TRUE,0
1,3/6/2022,11:30 AM,1512,214,2,19,9,17,FALSE,0,FALSE,TRUE,3
1,3/6/2022,5:19 PM,1514,214,2,45,7,19,FALSE,0,FALSE,FALSE,
1,3/6/2022,10:06 AM,3525,210,3,45,28,19,FALSE,0,FALSE,TRUE,0
1,3/6/2022,1:03 PM,3527,214,3,49,17,1,FALSE,0,FALSE,FALSE,
1,3/6/2022,11:59 AM,3521,212,4,12,17,17,FALSE,0,FALSE,TRUE,0
1,3/6/2022,3:43 PM,1511,211,1,2,21,26,FALSE,0,FALSE,TRUE,2
1,3/6/2022,12:26 PM,1515,212,4,34,0,0,FALSE,1,TRUE,FALSE,
1,3/6/2022,2:33 PM,3522,213,3,23,1,6,FALSE,0,FALSE,TRUE,0
1,3/6/2022,3:33 PM,3524,211,2,26,41,23,FALSE,0,FALSE,FALSE,
1,3/6/2022,9:33 AM,1590,213,0,51,11,46,FALSE,0,FALSE,TRUE,5
1,3/6/2022,3:01 PM,2079,214,3,47,46,2,FALSE,0,FALSE,FALSE,
1,3/6/2022,6:47 PM,1509,212,4,24,35,36,FALSE,0,FALSE,TRUE,3
1,3/6/2022,3:35 PM,1516,213,4,31,39,31,FALSE,0,FALSE,FALSE,
1,3/6/2022,10:21 AM,3520,210,4,30,31,44,FALSE,0,FALSE,FALSE,
1,3/6/2022,3:39 PM,3526,214,4,36,17,14,FALSE,0,FALSE,FALSE,
1,3/6/2022,4:53 PM,4218,211,4,41,49,37,FALSE,0,FALSE,FALSE,
1,3/6/2022,8:44 AM,1510,216,6,50,15,51,FALSE,0,FALSE,TRUE,1
1,3/6/2022,6:12 PM,1513,210,6,57,17,56,FALSE,0,FALSE,FALSE,
1,3/6/2022,4:22 PM,3523,210,1,39,37,48,FALSE,0,FALSE,TRUE,0
1,3/13/2022,2:19 PM,1587,211,2,42,8,49,FALSE,0,FALSE,TRUE,1
1,3/13/2022,6:17 PM,1592,213,3,3,21,56,FALSE,0,FALSE,TRUE,3
1,3/13/2022,8:10 AM,3594,216,3,21,44,20,FALSE,0,FALSE,TRUE,0
1,3/13/2022,7:54 AM,3602,211,3,13,47,20,FALSE,0,FALSE,TRUE,0
1,3/13/2022,10:24 AM,1586,210,3,0,34,44,FALSE,0,FALSE,TRUE,5
1,3/13/2022,11:01 AM,1588,214,4,7,17,14,FALSE,0,FALSE,TRUE,1
1,3/13/2022,9:33 AM,1590,213,3,51,11,46,FALSE,0,FALSE,TRUE,5
1,3/13/2022,3:32 PM,3593,212,4,35,31,49,FALSE,0,FALSE,TRUE,0
1,3/13/2022,2:32 PM,3600,213,3,45,23,44,FALSE,0,FALSE,FALSE,
1,3/13/2022,1:35 PM,2217,216,2,22,28,14,FALSE,0,FALSE,FALSE,
1,3/13/2022,12:00 PM,1584,211,2,45,25,56,FALSE,0,FALSE,FALSE,
1,3/13/2022,7:12 AM,1585,210,2,47,18,10,FALSE,0,FALSE,TRUE,2
1,3/13/2022,8:18 AM,1589,210,2,57,28,4,FALSE,0,FALSE,FALSE,
1,3/13/2022,11:54 AM,1591,214,3,23,25,33,FALSE,0,FALSE,TRUE,2
1,3/13/2022,2:29 PM,3595,211,3,52,1,29,FALSE,0,FALSE,FALSE,
1,3/13/2022,12:17 PM,3596,214,4,21,51,51,FALSE,0,FALSE,FALSE,
1,3/13/2022,10:40 AM,3597,210,1,48,10,43,FALSE,0,FALSE,TRUE,0
1,3/13/2022,9:05 AM,3598,214,4,37,26,25,FALSE,0,FALSE,FALSE,
1,3/13/2022,10:40 AM,3597,210,3,48,10,43,FALSE,0,FALSE,TRUE,0
1,3/13/2022,2:26 PM,3601,211,2,8,27,15,FALSE,0,FALSE,FALSE,
1,3/13/2022,10:27 AM,4086,212,0,21,35,59,FALSE,0,FALSE,FALSE,
1,3/13/2022,2:16 PM,1583,216,7,27,0,53,FALSE,0,FALSE,FALSE,
1,3/13/2022,6:08 PM,3603,211,1,34,3,47,FALSE,0,FALSE,TRUE,0
1,3/13/2022,12:56 PM,1582,212,2,4,46,19,FALSE,0,FALSE,TRUE,3
1,3/13/2022,6:46 PM,3599,212,3,8,50,42,FALSE,0,FALSE,FALSE,
1,3/20/2022,4:21 PM,1644,211,3,28,0,0,FALSE,1,TRUE,FALSE,
1,3/20/2022,10:23 AM,1650,210,3,2,21,20,FALSE,0,FALSE,FALSE,
1,3/20/2022,5:07 PM,3659,211,3,25,44,42,FALSE,0,FALSE,TRUE,0
1,3/20/2022,4:17 PM,3661,213,4,48,47,49,FALSE,0,FALSE,FALSE,
1,3/20/2022,7:50 AM,3660,212,3,5,55,38,FALSE,0,FALSE,FALSE,
1,3/20/2022,5:16 PM,3654,212,4,0,28,20,FALSE,0,FALSE,FALSE,
1,3/20/2022,3:52 PM,3655,216,3,18,37,46,FALSE,0,FALSE,FALSE,
1,3/20/2022,4:34 PM,3662,216,2,19,20,14,FALSE,0,FALSE,TRUE,0
1,3/20/2022,3:50 PM,2085,212,2,53,34,42,FALSE,0,FALSE,TRUE,5
1,3/20/2022,7:11 AM,1646,210,2,37,22,4,FALSE,0,FALSE,FALSE,
1,3/20/2022,3:42 PM,1648,216,2,11,0,52,FALSE,0,FALSE,TRUE,5
1,3/20/2022,4:33 PM,1651,214,3,38,14,12,FALSE,0,FALSE,FALSE,
1,3/20/2022,5:06 PM,3658,212,3,56,48,35,FALSE,0,FALSE,FALSE,
1,3/20/2022,5:23 PM,1593,212,4,5,24,26,FALSE,0,FALSE,FALSE,
1,3/20/2022,6:03 PM,1643,216,1,16,28,31,FALSE,0,FALSE,FALSE,
1,3/20/2022,11:22 AM,1645,214,4,17,21,47,FALSE,0,FALSE,TRUE,1
1,3/20/2022,1:20 PM,1649,212,3,11,43,29,FALSE,0,FALSE,TRUE,3
1,3/20/2022,12:40 PM,3657,211,2,10,59,23,FALSE,0,FALSE,FALSE,
1,3/20/2022,10:03 AM,1647,216,0,52,37,18,FALSE,0,FALSE,FALSE,
1,3/20/2022,10:01 AM,3656,212,6,4,34,55,FALSE,0,FALSE,TRUE,0
1,3/20/2022,1:14 PM,2224,211,1,16,57,8,FALSE,0,FALSE,FALSE,
1,3/27/2022,7:54 AM,1706,210,2,43,25,52,FALSE,0,FALSE,FALSE,
1,3/27/2022,12:54 PM,3717,213,3,14,52,28,FALSE,0,FALSE,FALSE,
1,3/27/2022,4:08 PM,3723,216,3,29,32,27,FALSE,0,FALSE,TRUE,0
1,3/27/2022,3:13 PM,1707,210,3,34,51,51,FALSE,0,FALSE,FALSE,
1,3/27/2022,9:16 AM,1711,216,3,37,13,49,FALSE,0,FALSE,TRUE,5
1,3/27/2022,2:04 PM,1712,213,4,13,4,6,FALSE,0,FALSE,TRUE,2
1,3/27/2022,5:29 PM,1713,210,3,45,3,26,FALSE,0,FALSE,TRUE,1
1,3/27/2022,9:10 AM,1714,212,4,9,20,6,FALSE,0,FALSE,FALSE,
1,3/27/2022,9:13 AM,1715,212,3,28,26,31,FALSE,0,FALSE,TRUE,1
1,3/27/2022,12:16 PM,3725,210,2,1,31,1,FALSE,0,FALSE,FALSE,
1,3/27/2022,2:34 PM,4096,214,2,19,49,2,FALSE,0,FALSE,TRUE,0
1,3/27/2022,4:18 PM,3719,213,2,11,14,52,FALSE,0,FALSE,TRUE,0
1,3/27/2022,4:30 PM,3721,210,2,20,56,57,FALSE,0,FALSE,FALSE,
1,3/27/2022,8:18 AM,3724,214,3,58,32,44,FALSE,0,FALSE,TRUE,0
1,3/27/2022,12:04 PM,3726,211,3,28,24,20,FALSE,0,FALSE,TRUE,0
1,3/27/2022,6:16 PM,1710,214,4,25,11,58,FALSE,0,FALSE,FALSE,
1,3/27/2022,11:13 AM,3718,216,1,36,2,31,FALSE,0,FALSE,TRUE,0
1,3/27/2022,8:47 AM,3722,210,4,51,36,5,FALSE,0,FALSE,FALSE,
1,3/27/2022,4:50 PM,3720,213,3,46,0,0,FALSE,1,TRUE,FALSE,
1,3/27/2022,6:55 PM,1708,213,2,56,20,14,FALSE,0,FALSE,FALSE,
1,3/27/2022,11:09 AM,1709,211,0,6,31,29,FALSE,0,FALSE,FALSE,
1,3/27/2022,2:04 PM,3604,213,8,30,36,2,FALSE,0,FALSE,FALSE,
1,4/3/2022,8:35 AM,1749,211,1,37,36,28,FALSE,0,FALSE,FALSE,
1,4/3/2022,8:30 AM,3758,213,1,52,32,39,FALSE,0,FALSE,FALSE,
1,4/3/2022,10:12 AM,3760,216,1,49,35,57,FALSE,0,FALSE,TRUE,0
1,4/3/2022,7:48 AM,3764,216,1,35,35,17,FALSE,0,FALSE,FALSE,
1,4/3/2022,8:41 AM,1753,212,2,23,49,53,FALSE,0,FALSE,FALSE,
1,4/3/2022,9:50 AM,3761,216,2,14,0,0,FALSE,1,TRUE,FALSE,
1,4/3/2022,7:13 AM,3003,220,2,58,0,0,FALSE,1,TRUE,FALSE,
1,4/3/2022,6:53 PM,1747,212,3,1,8,45,FALSE,0,FALSE,FALSE,
1,4/3/2022,10:58 AM,1752,213,3,50,19,28,FALSE,0,FALSE,TRUE,2
1,4/3/2022,9:39 AM,3763,210,3,42,32,34,FALSE,0,FALSE,TRUE,0
1,4/3/2022,2:56 PM,2095,213,3,39,2,9,FALSE,0,FALSE,FALSE,
1,4/3/2022,7:36 AM,1750,213,4,4,15,4,FALSE,0,FALSE,FALSE,
1,4/3/2022,8:06 AM,3759,213,4,59,21,36,FALSE,0,FALSE,TRUE,0
1,4/3/2022,12:51 PM,3762,212,4,25,23,30,FALSE,0,FALSE,TRUE,0
1,4/3/2022,10:02 AM,1751,211,5,47,25,14,FALSE,0,FALSE,FALSE,
1,4/3/2022,7:10 AM,1600,216,7,43,9,22,FALSE,0,FALSE,TRUE,5
1,4/3/2022,11:05 AM,1748,211,8,4,16,13,FALSE,0,FALSE,TRUE,4
1,4/10/2022,9:13 AM,3804,210,1,35,46,32,FALSE,0,FALSE,TRUE,0
1,4/10/2022,5:30 PM,1794,211,2,6,35,43,FALSE,0,FALSE,TRUE,1
1,4/10/2022,6:51 PM,3805,213,3,35,8,32,FALSE,0,FALSE,FALSE,
1,4/10/2022,8:55 AM,1791,216,3,8,51,56,FALSE,0,FALSE,TRUE,3
1,4/10/2022,10:01 AM,1792,211,3,38,48,6,FALSE,0,FALSE,TRUE,4
1,4/10/2022,12:16 PM,3803,210,3,0,43,40,FALSE,0,FALSE,FALSE,
1,4/10/2022,6:01 PM,3806,210,4,50,56,20,FALSE,0,FALSE,FALSE,
1,4/10/2022,7:21 AM,1604,214,3,23,0,0,FALSE,1,TRUE,FALSE,
1,4/10/2022,5:16 PM,1793,213,4,51,20,12,FALSE,0,FALSE,FALSE,
1,4/10/2022,10:45 AM,3801,210,3,39,3,17,FALSE,0,FALSE,TRUE,0
1,4/10/2022,1:46 PM,999,216,2,14,53,31,FALSE,0,FALSE,FALSE,
1,4/10/2022,8:21 AM,1790,210,2,5,14,48,FALSE,0,FALSE,TRUE,3
1,4/10/2022,3:20 PM,3802,214,2,27,15,19,FALSE,0,FALSE,TRUE,0
1,4/10/2022,11:29 AM,4102,213,2,42,41,47,FALSE,0,FALSE,TRUE,0
1,4/10/2022,6:58 PM,1795,216,3,30,24,24,FALSE,0,FALSE,TRUE,1
1,4/17/2022,9:17 AM,1855,210,3,48,53,1,FALSE,0,FALSE,FALSE,
1,4/17/2022,1:22 PM,1857,210,4,15,0,1,FALSE,0,FALSE,TRUE,4
1,4/17/2022,9:04 AM,1853,211,1,54,13,32,FALSE,0,FALSE,TRUE,2
1,4/17/2022,6:55 PM,1858,213,4,33,32,30,FALSE,0,FALSE,FALSE,
1,4/17/2022,11:16 AM,3867,214,3,38,24,46,FALSE,0,FALSE,FALSE,
1,4/17/2022,8:03 AM,1611,214,2,0,49,17,FALSE,0,FALSE,TRUE,2
1,4/17/2022,1:17 PM,1854,213,0,8,11,27,FALSE,0,FALSE,FALSE,
1,4/17/2022,7:00 AM,3864,211,3,39,19,5,FALSE,0,FALSE,FALSE,
1,4/17/2022,1:44 PM,3865,216,3,44,16,24,FALSE,0,FALSE,FALSE,
1,4/17/2022,6:19 PM,1856,214,4,9,30,34,FALSE,0,FALSE,TRUE,3
1,4/17/2022,2:04 PM,3866,213,4,21,45,31,FALSE,0,FALSE,FALSE,
1,4/17/2022,5:17 PM,3869,212,4,41,4,46,FALSE,0,FALSE,TRUE,0
1,4/17/2022,3:51 PM,3863,210,5,13,19,51,FALSE,0,FALSE,FALSE,
1,4/17/2022,5:52 PM,1006,213,5,5,37,46,FALSE,0,FALSE,TRUE,1
1,4/17/2022,3:12 PM,3868,211,6,50,3,9,FALSE,0,FALSE,TRUE,0
1,4/17/2022,7:04 AM,1852,211,7,46,0,0,FALSE,1,TRUE,FALSE,
1,4/17/2022,9:12 AM,2101,216,1,31,23,22,FALSE,0,FALSE,FALSE,
1,4/24/2022,7:27 AM,3943,212,2,34,8,39,FALSE,0,FALSE,FALSE,
1,4/24/2022,10:02 AM,3937,211,3,48,8,40,FALSE,0,FALSE,TRUE,0
1,4/24/2022,2:18 PM,3619,216,3,10,7,15,FALSE,0,FALSE,TRUE,0
1,4/24/2022,5:09 PM,1920,210,3,7,36,10,FALSE,0,FALSE,TRUE,3
1,4/24/2022,9:19 AM,1922,216,3,8,10,39,FALSE,0,FALSE,TRUE,3
1,4/24/2022,12:52 PM,1925,210,4,0,18,53,FALSE,0,FALSE,TRUE,5
1,4/24/2022,9:15 AM,3931,212,3,18,53,20,FALSE,0,FALSE,TRUE,0
1,4/24/2022,4:09 PM,1926,210,4,29,15,35,FALSE,0,FALSE,TRUE,4
1,4/24/2022,12:30 PM,1930,214,3,9,16,0,FALSE,0,FALSE,FALSE,
1,4/24/2022,5:00 PM,1932,213,2,48,37,26,FALSE,0,FALSE,TRUE,4
1,4/24/2022,1:51 PM,3933,210,2,52,3,19,FALSE,0,FALSE,TRUE,0
1,4/24/2022,1:59 PM,3935,212,2,5,10,26,FALSE,0,FALSE,FALSE,
1,4/24/2022,10:36 AM,3938,213,2,23,33,9,FALSE,0,FALSE,FALSE,
1,4/24/2022,6:51 PM,3939,210,3,14,23,51,FALSE,0,FALSE,FALSE,
1,4/24/2022,7:53 AM,1923,212,3,1,0,0,FALSE,1,TRUE,FALSE,
1,4/24/2022,5:29 PM,1924,214,4,30,20,32,FALSE,0,FALSE,TRUE,4
1,4/24/2022,10:00 AM,3942,213,1,56,36,6,FALSE,0,FALSE,TRUE,0
1,4/24/2022,2:13 PM,1921,213,4,45,38,14,FALSE,0,FALSE,TRUE,4
1,4/24/2022,5:10 PM,1931,214,3,50,8,0,FALSE,0,FALSE,FALSE,
1,4/24/2022,8:49 AM,3941,210,2,28,27,27,FALSE,0,FALSE,TRUE,0
1,4/24/2022,3:30 PM,4106,211,0,32,33,30,FALSE,0,FALSE,FALSE,
1,4/24/2022,7:48 AM,3932,216,7,10,11,40,FALSE,0,FALSE,TRUE,0
1,4/24/2022,10:55 AM,3934,216,7,41,44,10,FALSE,0,FALSE,TRUE,0
1,4/24/2022,5:39 PM,3936,211,1,38,20,37,FALSE,0,FALSE,TRUE,0
1,4/24/2022,9:31 AM,3940,214,2,53,14,12,FALSE,0,FALSE,FALSE,
1,4/24/2022,10:53 AM,3011,210,3,56,20,14,FALSE,0,FALSE,FALSE,
1,4/24/2022,2:35 PM,1927,213,3,23,5,41,FALSE,0,FALSE,TRUE,4
1,4/24/2022,3:35 PM,1928,211,3,17,4,11,FALSE,0,FALSE,FALSE,
1,4/24/2022,8:42 AM,1929,214,3,21,37,51,FALSE,0,FALSE,TRUE,1
1,5/1/2022,2:26 PM,2005,212,4,21,17,52,FALSE,0,FALSE,TRUE,1
1,5/1/2022,12:21 PM,4019,216,3,39,0,0,FALSE,1,TRUE,FALSE,
1,5/1/2022,4:04 PM,2000,216,4,16,0,10,FALSE,0,FALSE,TRUE,1
1,5/1/2022,1:12 PM,4012,211,3,24,56,47,FALSE,0,FALSE,FALSE,
1,5/1/2022,1:08 PM,2001,214,2,57,29,58,FALSE,0,FALSE,FALSE,
1,5/1/2022,2:42 PM,2003,212,2,43,41,52,FALSE,0,FALSE,FALSE,
1,5/1/2022,1:17 PM,2004,216,2,30,29,48,FALSE,0,FALSE,FALSE,
1,5/1/2022,7:37 AM,2010,214,2,28,11,27,FALSE,0,FALSE,TRUE,5
1,5/1/2022,12:25 PM,4017,210,3,25,17,48,FALSE,0,FALSE,TRUE,0
1,5/1/2022,11:52 AM,3018,221,3,28,26,31,FALSE,0,FALSE,TRUE,1
1,5/1/2022,8:31 AM,1615,213,4,8,19,12,FALSE,0,FALSE,FALSE,
1,5/1/2022,8:47 AM,4113,216,1,53,14,53,FALSE,0,FALSE,FALSE,
1,5/1/2022,8:53 AM,2008,216,4,45,32,15,FALSE,0,FALSE,TRUE,4
1,5/1/2022,12:10 PM,2009,216,3,20,50,20,FALSE,0,FALSE,FALSE,
1,5/1/2022,7:46 AM,4015,214,2,14,1,42,FALSE,0,FALSE,TRUE,0
1,5/1/2022,2:28 PM,4018,214,0,39,18,17,FALSE,0,FALSE,FALSE,
1,5/1/2022,6:04 PM,4016,213,5,30,11,1,FALSE,0,FALSE,FALSE,
1,5/1/2022,8:47 AM,4008,214,1,9,13,41,FALSE,0,FALSE,FALSE,
1,5/1/2022,3:28 PM,4014,214,2,19,38,51,FALSE,0,FALSE,TRUE,0
